Electorate,State,Party,Margin,Total,Doctoral Degree Level,% Doctoral,Master Degree Level,% Master,Bachelor Degree Level,% Bachelor
Monash,VIC,LP,7.36,"136,729",275,0.002011278,1493,0.01091941,9975,0.07295453
Nicholls,VIC,NP,20.03,"146,441",144,0.000983331,1231,0.008406116,9300,0.063506805
Scullin,VIC,ALP,21.66,"154,597",408,0.00263912,4559,0.029489576,15990,0.103430209
Wannon,VIC,LP,10.38,"146,451",248,0.001693399,1420,0.009696076,10959,0.074830489
Wills,VIC,ALP,8.17,"151,475",1976,0.013045057,8987,0.059329922,28253,0.186519228
Brand,WA,ALP,6.66,"161,261",170,0.001054192,"1,788",0.011087616,"11,050",0.068522457
Burt,WA,ALP,4.99,"166,040",525,0.003161889,"4,087",0.024614551,"16,781",0.101066008
Canning,WA,LP,11.55,"142,749",167,0.001169886,"1,348",0.009443148,"9,698",0.067937429
Cowan,WA,ALP,0.83,"144,849",218,0.001505016,"2,159",0.014905177,"13,696",0.094553639
Curtin,WA,LP,14.33,"140,082","3,451",0.024635571,"8,849",0.063170143,"35,067",0.250331948
Durack,WA,LP,14.76,"175,759",141,0.000802235,"1,746",0.009934057,"12,371",0.070386154
Forrest,WA,LP,14.56,"144,279",240,0.001663444,"1,373",0.009516284,"12,264",0.085001975
Fremantle,WA,ALP,6.92,"145,917","1,257",0.008614486,"4,271",0.029270064,"20,663",0.1416079
Hasluck,WA,LP,5.39,"140,274",553,0.003942284,"2,604",0.018563668,"13,786",0.098279082
Moore,WA,LP,11.65,"137,262",694,0.005056024,"3,405",0.024806574,"19,686",0.143419155
O'Connor,WA,LP,14.48,"150,795",263,0.00174409,"1,263",0.008375609,"10,443",0.069252959
Pearce,WA,LP,7.52,"178,110",234,0.001313795,"2,294",0.012879681,"13,780",0.077367919
Perth,WA,ALP,4.93,"147,856","1,492",0.010090899,"6,850",0.046328861,"29,346",0.198476896
Stirling,WA,LP,5.65,"145,337",701,0.004823273,"4,739",0.032606976,"23,072",0.158748288
Swan,WA,LP,2.69,"159,653","1,509",0.009451748,"7,009",0.043901461,"27,474",0.172085711
Tangney,WA,LP,11.47,"133,275","1,735",0.013018195,"5,626",0.042213468,"25,597",0.192061527
